# id|date|teamAId|teamBId|winnerTeamId|playerHeroTeamPicks
M001|2026-05-01|T001|T002|T001|P001:H001:T001;P002:H002:T001;P003:H003:T001;P004:H004:T001;P005:H005:T001;P006:H008:T002;P007:H009:T002;P008:H010:T002;P009:H011:T002;P010:H012:T002
M002|2026-05-03|T002|T003|T003|P006:H002:T002;P007:H013:T002;P008:H010:T002;P009:H006:T002;P010:H005:T002;P011:H001:T003;P012:H014:T003;P013:H015:T003;P014:H011:T003;P015:H009:T003
M003|2026-05-06|T001|T003|T003|P001:H007:T001;P002:H015:T001;P003:H009:T001;P004:H010:T001;P005:H012:T001;P011:H013:T003;P012:H004:T003;P013:H002:T003;P014:H006:T003;P015:H003:T003
M004|2026-05-09|T001|T002|T002|P001:H013:T001;P002:H008:T001;P003:H003:T001;P004:H014:T001;P005:H006:T001;P006:H011:T002;P007:H009:T002;P008:H010:T002;P009:H005:T002;P010:H012:T002
M005|2026-05-12|T002|T003|T002|P006:H008:T002;P007:H013:T002;P008:H004:T002;P009:H011:T002;P010:H012:T002;P011:H003:T003;P012:H010:T003;P013:H015:T003;P014:H006:T003;P015:H009:T003
M006|2026-05-15|T001|T003|T001|P001:H001:T001;P002:H002:T001;P003:H013:T001;P004:H004:T001;P005:H005:T001;P011:H003:T003;P012:H014:T003;P013:H008:T003;P014:H011:T003;P015:H012:T003
M007|2026-05-18|T001|T002|T001|P001:H007:T001;P002:H015:T001;P003:H003:T001;P004:H010:T001;P005:H012:T001;P006:H002:T002;P007:H013:T002;P008:H014:T002;P009:H006:T002;P010:H005:T002
M008|2026-05-21|T002|T003|T003|P006:H011:T002;P007:H003:T002;P008:H010:T002;P009:H005:T002;P010:H009:T002;P011:H001:T003;P012:H004:T003;P013:H002:T003;P014:H006:T003;P015:H012:T003
M009|2026-05-24|T001|T003|T003|P001:H013:T001;P002:H008:T001;P003:H009:T001;P004:H014:T001;P005:H005:T001;P011:H001:T003;P012:H010:T003;P013:H015:T003;P014:H011:T003;P015:H003:T003
M010|2026-05-28|T001|T002|T002|P001:H001:T001;P002:H002:T001;P003:H003:T001;P004:H004:T001;P005:H012:T001;P006:H008:T002;P007:H009:T002;P008:H010:T002;P009:H011:T002;P010:H005:T002
M011|2026-05-31|T002|T003|T003|P006:H002:T002;P007:H013:T002;P008:H014:T002;P009:H006:T002;P010:H012:T002;P011:H001:T003;P012:H010:T003;P013:H015:T003;P014:H011:T003;P015:H009:T003
